Valor_otimo
218.0
Total_de_maquinas
7
Total_de_tarefas
30
Matriz_dos_custos_de_processamento_e_de_setup
56	12	17	17	19	17	17	21	18	20	22	16	22	18	22	21	22	17	12	13	19	17	19	13	14	18	12	17	21	23	22
36	14	16	20	23	23	17	21	17	13	23	17	15	20	17	19	13	17	13	23	18	16	15	20	18	14	16	23	19	14	15
47	21	24	13	22	20	17	14	20	13	23	13	16	24	12	15	12	19	18	24	23	21	23	13	24	22	12	15	21	13	14
20	16	22	14	20	13	17	24	24	12	16	13	22	24	14	13	14	23	15	15	20	24	18	13	17	13	16	19	16	20	19
38	17	18	17	14	14	14	21	24	16	23	21	22	19	17	14	16	14	14	17	24	20	13	20	13	17	15	21	13	18	14
20	12	24	19	18	20	17	21	22	19	12	14	12	16	13	19	23	12	17	13	24	24	23	13	23	19	17	21	20	14	14
69	17	23	20	17	16	24	13	13	23	20	18	13	22	19	17	24	21	17	12	19	12	24	19	24	23	18	14	15	12	20
23	20	18	18	20	20	20	16	18	14	21	22	20	23	16	19	15	23	22	12	21	16	13	12	23	18	23	13	23	13	16
22	12	14	19	19	12	14	15	17	19	19	19	24	13	14	19	12	15	23	21	22	15	21	13	19	14	18	13	23	14	17
53	13	23	17	20	19	21	20	14	19	24	23	14	20	13	15	13	15	13	19	13	21	19	15	14	16	16	23	17	14	20
30	17	12	23	12	24	22	13	14	24	20	12	14	13	15	19	21	22	12	15	20	17	16	21	13	14	14	20	24	16	23
23	12	20	12	19	21	13	21	24	21	12	14	22	14	18	13	20	24	15	23	17	16	17	17	23	17	15	15	13	21	12
62	15	22	18	16	19	18	17	16	19	15	21	18	17	14	13	24	17	16	14	20	12	17	22	18	21	20	19	18	21	20
22	18	16	16	23	14	18	24	14	23	20	17	15	17	20	17	20	23	14	16	24	13	12	16	12	12	19	24	22	15	17
32	18	20	12	16	21	18	16	20	18	20	13	12	21	22	18	23	20	12	18	12	20	15	15	14	21	19	22	12	16	19
67	18	12	19	24	18	18	17	12	20	19	19	14	19	21	21	14	22	16	19	24	13	13	22	14	20	16	18	22	22	15
70	14	21	21	18	24	12	16	13	18	17	23	22	13	15	21	24	22	18	13	13	23	21	24	13	17	23	14	20	13	18
27	24	13	21	23	15	21	24	21	19	23	17	13	13	16	22	13	19	23	20	14	19	20	22	20	17	19	12	16	20	12
25	18	19	22	14	24	16	17	14	15	22	22	17	13	20	20	19	21	15	13	20	16	22	21	21	18	21	18	20	19	23
24	16	15	23	15	24	18	12	12	24	23	24	17	12	22	21	18	15	20	21	20	12	24	14	18	19	17	23	24	12	22
43	13	13	12	21	22	15	14	23	18	22	12	12	24	13	19	19	15	16	23	23	13	21	24	18	16	22	15	18	17	23
21	14	18	21	14	13	15	24	19	20	13	14	20	16	15	19	12	14	17	21	23	21	20	16	13	17	13	17	22	17	23
29	22	17	19	23	21	12	16	24	22	19	23	13	15	22	13	19	17	15	13	13	13	22	22	12	20	22	18	18	20	19
42	16	21	12	19	20	23	23	15	15	16	15	20	13	16	15	19	24	24	21	14	17	17	19	14	12	20	13	21	20	16
22	18	19	14	23	17	17	17	24	15	24	17	21	14	15	16	15	19	17	18	23	17	24	13	18	17	14	14	17	19	19
66	22	14	23	21	12	22	17	19	24	15	14	21	20	24	16	16	15	24	15	20	17	17	22	24	17	22	22	17	16	13
55	17	15	17	22	16	16	12	12	12	23	21	20	14	17	14	23	24	20	12	17	12	12	24	14	21	23	23	16	19	18
37	17	18	12	21	24	17	21	22	13	19	17	22	23	16	19	19	23	12	22	12	17	21	18	23	14	13	16	21	12	15
20	13	22	24	17	21	12	13	20	13	19	12	17	14	15	23	18	12	16	24	18	12	23	13	18	18	14	13	21	22	13
60	18	24	22	19	20	20	15	14	15	20	23	20	12	20	24	17	13	12	18	21	14	24	17	14	21	20	23	12	16	18
