Valor_otimo
1378.0
Total_de_maquinas
4
Total_de_tarefas
100
Matriz_dos_custos_de_processamento_e_de_setup																			
59	15	16	22	23	19	22	19	20	21	15	20	18	14	23	19	16	14	16	13	18	17	20	21	20	16	21	23	19	21	13	23	23	21	20	23	16	21	13	24	13	18	14	24	20	15	15	16	12	21	13	23	23	21	12	21	21	18	14	17	24	24	20	14	14	21	22	13	16	16	15	16	22	13	23	13	18	15	18	13	18	18	16	17	22	19	24	21	22	16	19	13	19	24	16	15	22	19	15	21	15
51	19	23	14	14	14	15	14	15	20	18	21	22	20	21	20	20	16	15	21	17	16	17	21	14	20	20	21	16	17	15	13	20	20	19	16	13	17	22	13	19	16	19	22	15	22	21	24	22	20	20	15	21	17	19	14	23	21	18	19	23	21	19	21	16	17	20	12	13	14	19	17	13	20	16	13	18	23	17	12	23	19	20	20	22	20	18	15	20	15	20	21	16	15	15	21	19	17	19	13	23
37	17	18	22	19	16	20	18	16	15	19	17	21	22	13	22	19	18	16	22	18	17	19	16	23	18	15	23	17	16	16	15	21	16	17	21	18	22	24	14	23	19	19	18	19	21	20	12	22	12	19	24	19	17	22	23	21	21	16	14	23	12	18	14	19	22	22	21	18	20	16	21	17	18	24	13	13	24	21	15	14	20	22	13	12	20	13	18	17	18	20	12	22	16	17	19	13	21	18	17	22
41	15	21	20	19	16	21	13	14	16	13	13	21	13	16	18	18	13	14	15	20	20	16	18	19	19	22	24	15	23	19	12	20	14	16	17	13	19	24	15	20	20	21	18	20	16	21	23	19	20	14	17	13	16	23	23	20	12	24	12	14	18	18	16	16	19	15	13	21	21	15	20	22	19	15	18	16	12	12	21	22	21	16	20	16	14	19	23	18	19	19	22	15	12	20	22	14	17	23	18	14
32	19	13	14	22	12	16	19	13	19	20	20	15	17	17	12	20	24	22	15	23	16	19	24	17	19	20	13	15	22	19	14	19	13	24	14	22	16	20	21	22	19	19	22	22	17	23	12	16	15	17	14	18	20	15	19	18	21	13	21	17	23	16	24	18	24	16	17	19	14	16	23	15	14	17	17	20	14	12	13	21	18	16	12	13	21	20	15	23	14	19	24	13	15	13	19	23	19	24	18	15
43	13	23	12	17	19	14	22	16	24	15	23	17	22	20	13	20	14	14	21	21	12	18	17	14	22	20	22	19	14	19	19	16	24	20	15	22	23	17	14	14	18	17	23	23	14	13	14	16	14	17	15	14	14	17	22	12	18	14	23	17	20	19	15	24	12	14	17	24	15	21	17	14	13	23	18	22	16	18	18	18	22	17	16	16	19	24	20	18	19	22	16	16	20	14	16	23	16	22	17	16
54	23	24	21	16	18	24	17	17	14	21	12	15	21	19	14	17	21	17	17	18	21	15	20	24	20	22	24	19	23	13	21	20	23	21	21	17	17	13	19	22	23	16	14	14	24	18	19	23	13	14	24	22	15	18	18	15	14	16	12	20	20	15	19	21	20	18	16	13	21	15	13	18	13	21	22	23	22	17	22	15	20	12	23	22	15	17	17	22	16	23	18	23	19	18	19	21	12	21	14	18
57	21	21	12	22	22	13	20	16	14	19	14	23	13	13	20	20	17	16	22	12	22	22	14	19	16	15	24	20	17	14	23	20	12	20	17	14	17	16	19	22	15	21	24	15	23	24	15	15	15	22	22	21	17	20	14	20	12	18	13	15	16	19	15	23	15	15	19	17	22	19	18	17	24	21	15	15	16	20	20	18	22	19	21	21	22	14	18	20	13	13	15	21	13	20	13	21	20	23	19	15
48	22	15	13	15	16	17	14	23	23	19	23	21	14	22	13	17	18	13	19	19	19	20	16	15	23	15	13	16	23	22	17	15	13	18	17	21	19	13	18	23	16	23	13	18	17	20	15	18	12	21	15	16	20	19	20	15	17	17	17	20	20	14	16	17	16	14	15	19	19	18	13	22	23	12	22	22	16	14	24	19	12	17	24	23	20	20	17	13	22	13	15	13	23	14	14	16	21	13	14	14
34	18	12	19	18	18	19	21	22	16	15	23	23	15	22	12	19	14	22	23	20	15	23	20	19	20	20	20	14	21	19	14	13	20	18	15	20	18	23	22	19	21	23	22	22	23	15	19	18	20	19	13	15	21	20	12	14	17	17	21	16	16	13	18	13	18	15	15	23	14	19	22	14	16	20	20	21	17	14	18	17	16	17	19	19	16	15	14	17	23	21	19	18	23	24	13	24	21	18	17	13
57	16	21	22	20	17	18	21	17	14	23	14	21	17	17	17	19	22	16	21	20	21	19	24	14	15	24	18	21	22	23	22	14	21	19	15	15	18	20	19	18	15	24	22	15	23	22	22	18	18	17	20	16	21	21	21	13	22	14	21	20	14	23	21	12	15	13	19	24	13	15	21	22	19	19	21	22	18	23	13	21	15	16	20	20	12	24	16	16	19	13	19	13	21	15	18	15	15	16	14	20
28	18	18	19	19	13	16	20	22	23	17	24	17	23	20	18	14	23	18	14	20	19	19	22	18	19	15	24	18	18	12	21	14	17	15	13	19	24	23	16	18	15	16	13	20	15	21	20	21	23	14	16	18	21	19	21	12	18	17	19	14	20	23	16	23	24	17	22	15	20	13	13	18	14	12	21	21	17	15	18	24	12	19	18	21	16	15	20	14	13	14	18	22	17	15	19	18	23	24	21	16
46	23	21	20	14	22	12	23	18	14	14	20	21	24	17	18	21	15	18	20	24	13	20	23	14	17	23	18	22	15	19	18	16	19	13	13	16	15	17	13	19	16	17	17	16	16	21	23	23	20	21	13	13	15	19	17	20	12	24	15	15	13	15	21	16	13	13	23	15	14	22	17	23	14	12	24	14	23	13	19	14	12	14	21	15	23	23	22	20	18	13	23	12	21	15	22	17	23	21	20	13
49	15	13	22	15	19	23	21	17	17	22	16	14	15	21	17	14	19	14	21	19	19	20	23	15	23	19	19	14	20	18	16	20	14	19	16	17	24	15	16	21	21	14	22	21	23	15	22	21	16	15	17	23	14	18	18	24	12	20	16	22	22	14	17	17	22	22	12	13	16	15	14	12	14	16	19	16	21	17	14	18	17	13	22	15	22	14	15	14	20	21	20	20	20	12	21	19	15	17	15	15
63	19	19	17	13	13	15	22	20	23	22	22	20	16	19	22	14	15	19	22	23	21	18	14	14	24	15	21	21	16	18	23	22	19	17	16	22	14	15	18	16	14	22	20	21	17	16	23	21	17	18	20	18	21	16	22	22	15	17	12	15	16	13	14	21	17	22	23	12	21	18	14	17	19	23	24	13	22	18	18	19	18	13	16	16	14	12	18	19	17	22	21	13	16	17	13	15	24	22	23	17
35	23	16	15	16	21	15	12	18	18	19	21	19	21	22	19	21	14	16	23	22	13	23	20	20	18	12	17	12	22	12	14	23	18	14	19	22	18	20	24	24	18	18	22	17	20	19	22	20	14	21	23	21	20	14	16	24	15	22	19	17	15	17	13	20	19	18	18	14	20	23	20	22	17	16	15	23	20	19	20	19	21	21	23	22	12	23	15	15	20	21	21	21	24	19	14	23	15	14	21	20
21	13	16	17	14	17	20	17	18	19	16	18	17	12	14	24	19	12	15	14	15	14	14	15	22	23	21	18	17	14	16	14	22	20	16	16	17	23	18	14	16	19	18	21	17	22	19	12	18	14	17	21	24	14	15	14	12	15	17	22	22	17	13	18	16	16	24	22	17	14	20	20	20	17	13	16	19	15	15	14	23	13	16	15	22	17	18	14	17	24	22	15	12	17	17	17	16	21	16	20	21
42	17	13	19	13	15	17	22	15	19	21	20	18	19	19	22	13	21	13	17	16	14	21	15	14	18	19	18	16	14	19	22	22	17	20	18	19	18	21	20	23	22	20	12	12	22	14	16	14	20	21	14	22	24	19	24	22	21	22	21	18	15	16	13	16	16	16	19	18	20	15	15	14	18	15	18	19	23	18	23	19	13	17	17	24	21	17	19	14	14	14	23	16	16	21	24	13	19	18	15	24
23	12	17	23	23	16	19	17	22	21	15	17	18	16	22	19	17	17	22	14	18	13	14	13	22	19	18	17	15	22	20	16	22	21	21	20	18	19	14	12	23	18	17	16	16	22	17	16	16	17	15	22	23	12	22	21	20	16	21	17	24	21	13	21	21	15	20	13	23	18	18	17	23	23	21	21	22	18	17	22	21	17	18	18	14	14	16	21	14	19	14	21	13	21	21	18	19	19	18	21	19
29	21	22	12	15	13	15	15	22	18	18	22	23	20	12	17	21	13	21	24	22	18	17	15	15	22	20	13	13	13	13	15	13	16	15	19	13	14	13	18	19	14	21	21	15	21	16	17	18	22	13	22	14	20	19	14	22	19	12	19	15	20	23	19	24	19	14	12	19	17	18	20	18	14	23	18	22	18	16	19	14	23	13	13	13	12	17	23	17	18	13	16	14	20	18	23	14	16	23	17	22
64	13	20	20	18	23	13	20	20	13	13	13	21	24	13	17	24	12	24	23	23	13	14	18	12	20	19	24	15	22	18	13	18	17	17	16	22	19	22	13	20	20	19	21	19	13	16	19	13	23	23	24	24	20	19	18	15	13	16	12	15	16	14	22	15	16	20	12	17	18	22	20	12	21	16	14	22	17	23	17	14	15	24	20	22	12	21	18	15	19	23	13	15	16	14	23	12	12	13	13	12
67	15	15	16	12	17	18	14	13	13	13	15	18	24	19	19	12	19	19	18	15	12	20	12	20	20	14	23	15	22	23	17	21	15	21	14	21	13	21	16	14	15	17	19	23	17	22	14	23	24	24	23	15	18	18	16	23	22	21	16	18	13	21	15	23	19	14	18	22	22	14	22	21	19	18	17	18	15	20	17	20	20	17	20	22	23	17	16	13	15	13	19	19	20	16	20	20	12	17	17	21
47	18	22	21	20	14	22	24	21	20	15	16	15	18	17	20	14	16	18	20	13	13	20	18	16	24	14	22	17	14	14	15	15	18	15	18	22	18	23	24	16	20	19	14	23	17	19	21	23	20	17	14	21	20	20	24	17	20	20	21	14	18	22	23	18	18	19	15	18	23	21	15	13	21	19	14	23	15	19	14	16	17	18	16	17	22	18	13	23	12	15	23	20	17	19	22	23	16	14	17	23
